product,draw_id,draw_status,effective_date,reason,source_url
keno,0275986,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275987,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275988,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275989,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275990,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275991,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275992,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275993,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275994,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275995,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275996,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275997,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275998,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0275999,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276000,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276001,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276002,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276003,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276004,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276005,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276006,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276007,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276008,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276009,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276010,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276011,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276012,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276013,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276014,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276015,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
keno,0276016,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160137,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160138,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160139,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160140,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160141,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160142,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160143,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160144,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160145,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160146,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160147,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160148,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160149,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160150,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160151,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160152,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160153,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160154,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160155,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160156,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160157,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160158,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160159,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160160,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160161,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160162,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160163,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160164,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160165,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160166,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160167,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
bingo18,0160168,not_confirmed,2026-04-02,Kết quả không được Hội đồng giám sát xổ số và đơn vị kiểm toán độc lập xác nhận,https://vietlott.vn/vi/tin-tuc/20321-thong-bao-vv-xu-ly-ve-san-pham-keno-bingo-18-da-phat-hanh-ngay-02042026/
